id	label	description	x	y	cluster	weight<Citations>	weight<Co-citations>
4045	am j phys anthropol	<table><tr><td>Source:</td><td>am j phys anthropol</td></tr><tr><td>Citations:</td><td>69</td></tr><tr><td>Co-citations:</td><td>2727</td></tr></table>	-0.532	0.3693	4	69	2727
4055	am j polit sci	<table><tr><td>Source:</td><td>am j polit sci</td></tr><tr><td>Citations:</td><td>216</td></tr><tr><td>Co-citations:</td><td>10496</td></tr></table>	0.9464	0.0096	1	216	10496
4059	am j primatol	<table><tr><td>Source:</td><td>am j primatol</td></tr><tr><td>Citations:</td><td>208</td></tr><tr><td>Co-citations:</td><td>9114</td></tr></table>	-0.6937	0.428	4	208	9114
4061	am j psychiat	<table><tr><td>Source:</td><td>am j psychiat</td></tr><tr><td>Citations:</td><td>681</td></tr><tr><td>Co-citations:</td><td>78275</td></tr></table>	-0.899	-0.4162	3	681	78275
4065	am j psychol	<table><tr><td>Source:</td><td>am j psychol</td></tr><tr><td>Citations:</td><td>58</td></tr><tr><td>Co-citations:</td><td>3256</td></tr></table>	-0.578	-0.0428	2	58	3256
4068	am j public health	<table><tr><td>Source:</td><td>am j public health</td></tr><tr><td>Citations:</td><td>240</td></tr><tr><td>Co-citations:</td><td>7792</td></tr></table>	0.0221	-0.0992	3	240	7792
4080	am j sociol	<table><tr><td>Source:</td><td>am j sociol</td></tr><tr><td>Citations:</td><td>2557</td></tr><tr><td>Co-citations:</td><td>107652</td></tr></table>	0.93	0.0231	1	2557	107652
4125	am midl nat	<table><tr><td>Source:</td><td>am midl nat</td></tr><tr><td>Citations:</td><td>77</td></tr><tr><td>Co-citations:</td><td>3006</td></tr></table>	-0.7373	0.5585	4	77	3006
4137	am nat	<table><tr><td>Source:</td><td>am nat</td></tr><tr><td>Citations:</td><td>413</td></tr><tr><td>Co-citations:</td><td>17182</td></tr></table>	-0.6863	0.5497	4	413	17182
4181	am polit sci rev	<table><tr><td>Source:</td><td>am polit sci rev</td></tr><tr><td>Citations:</td><td>599</td></tr><tr><td>Co-citations:</td><td>27036</td></tr></table>	0.9682	0.0284	1	599	27036
4196	am prospect	<table><tr><td>Source:</td><td>am prospect</td></tr><tr><td>Citations:</td><td>54</td></tr><tr><td>Co-citations:</td><td>2235</td></tr></table>	0.9268	0.014	1	54	2235
4202	am psychol	<table><tr><td>Source:</td><td>am psychol</td></tr><tr><td>Citations:</td><td>406</td></tr><tr><td>Co-citations:</td><td>25575</td></tr></table>	-0.0878	-0.19	2	406	25575
4269	am sociol rev	<table><tr><td>Source:</td><td>am sociol rev</td></tr><tr><td>Citations:</td><td>2859</td></tr><tr><td>Co-citations:</td><td>113627</td></tr></table>	0.9317	0.0171	1	2859	113627
4340	am zool	<table><tr><td>Source:</td><td>am zool</td></tr><tr><td>Citations:</td><td>91</td></tr><tr><td>Co-citations:</td><td>4138</td></tr></table>	-0.7793	0.3988	4	91	4138
4650	anim behav	<table><tr><td>Source:</td><td>anim behav</td></tr><tr><td>Citations:</td><td>1334</td></tr><tr><td>Co-citations:</td><td>50039</td></tr></table>	-0.7354	0.4379	4	1334	50039
4655	anim learn behav	<table><tr><td>Source:</td><td>anim learn behav</td></tr><tr><td>Citations:</td><td>42</td></tr><tr><td>Co-citations:</td><td>3586</td></tr></table>	-0.7942	0.2593	4	42	3586
4660	anim welfare	<table><tr><td>Source:</td><td>anim welfare</td></tr><tr><td>Citations:</td><td>38</td></tr><tr><td>Co-citations:</td><td>6822</td></tr></table>	-0.7948	0.267	4	38	6822
4756	ann am acad polit ss	<table><tr><td>Source:</td><td>ann am acad polit ss</td></tr><tr><td>Citations:</td><td>171</td></tr><tr><td>Co-citations:</td><td>8413</td></tr></table>	0.8398	-0.016	1	171	8413
4764	ann assoc am geogr	<table><tr><td>Source:</td><td>ann assoc am geogr</td></tr><tr><td>Citations:</td><td>144</td></tr><tr><td>Co-citations:</td><td>3102</td></tr></table>	0.8004	0.0896	1	144	3102
4815	ann intern med	<table><tr><td>Source:</td><td>ann intern med</td></tr><tr><td>Citations:</td><td>76</td></tr><tr><td>Co-citations:</td><td>2522</td></tr></table>	0.0284	-0.1689	3	76	2522
4955	ann neurol	<table><tr><td>Source:</td><td>ann neurol</td></tr><tr><td>Citations:</td><td>152</td></tr><tr><td>Co-citations:</td><td>10048</td></tr></table>	-0.8888	-0.1927	3	152	10048
4959	ann ny acad sci	<table><tr><td>Source:</td><td>ann ny acad sci</td></tr><tr><td>Citations:</td><td>171</td></tr><tr><td>Co-citations:</td><td>10407</td></tr></table>	-0.5528	-0.104	3	171	10407
5080	annu rev anthropol	<table><tr><td>Source:</td><td>annu rev anthropol</td></tr><tr><td>Citations:</td><td>134</td></tr><tr><td>Co-citations:</td><td>4542</td></tr></table>	0.7766	0.0854	1	134	4542
5091	annu rev ecol syst	<table><tr><td>Source:</td><td>annu rev ecol syst</td></tr><tr><td>Citations:</td><td>98</td></tr><tr><td>Co-citations:</td><td>4250</td></tr></table>	-0.6643	0.5652	4	98	4250
5103	annu rev microbiol	<table><tr><td>Source:</td><td>annu rev microbiol</td></tr><tr><td>Citations:</td><td>63</td></tr><tr><td>Co-citations:</td><td>3157</td></tr></table>	-1.2234	0.6594	6	63	3157
5104	annu rev neurosci	<table><tr><td>Source:</td><td>annu rev neurosci</td></tr><tr><td>Citations:</td><td>158</td></tr><tr><td>Co-citations:</td><td>11869</td></tr></table>	-0.7492	-0.1042	2	158	11869
5111	annu rev polit sci	<table><tr><td>Source:</td><td>annu rev polit sci</td></tr><tr><td>Citations:</td><td>66</td></tr><tr><td>Co-citations:</td><td>4016</td></tr></table>	1.036	0.0666	1	66	4016
5112	annu rev psychol	<table><tr><td>Source:</td><td>annu rev psychol</td></tr><tr><td>Citations:</td><td>223</td></tr><tr><td>Co-citations:</td><td>19037</td></tr></table>	-0.0792	-0.1372	2	223	19037
5115	annu rev sociol	<table><tr><td>Source:</td><td>annu rev sociol</td></tr><tr><td>Citations:</td><td>901</td></tr><tr><td>Co-citations:</td><td>41315</td></tr></table>	0.9129	0.0258	1	901	41315
5296	antipode	<table><tr><td>Source:</td><td>antipode</td></tr><tr><td>Citations:</td><td>229</td></tr><tr><td>Co-citations:</td><td>4284</td></tr></table>	0.837	0.095	1	229	4284
5394	appl anim behav sci	<table><tr><td>Source:</td><td>appl anim behav sci</td></tr><tr><td>Citations:</td><td>202</td></tr><tr><td>Co-citations:</td><td>15056</td></tr></table>	-0.7827	0.2751	4	202	15056
5654	arch gen psychiat	<table><tr><td>Source:</td><td>arch gen psychiat</td></tr><tr><td>Citations:</td><td>654</td></tr><tr><td>Co-citations:</td><td>71058</td></tr></table>	-0.9117	-0.4196	3	654	71058
5674	arch neurol-chicago	<table><tr><td>Source:</td><td>arch neurol-chicago</td></tr><tr><td>Citations:</td><td>150</td></tr><tr><td>Co-citations:</td><td>10023</td></tr></table>	-0.9066	-0.2135	3	150	10023
5682	arch phys med rehab	<table><tr><td>Source:</td><td>arch phys med rehab</td></tr><tr><td>Citations:</td><td>155</td></tr><tr><td>Co-citations:</td><td>5249</td></tr></table>	-0.7211	-0.2275	3	155	5249
6400	auk	<table><tr><td>Source:</td><td>auk</td></tr><tr><td>Citations:</td><td>134</td></tr><tr><td>Co-citations:</td><td>7060</td></tr></table>	-0.7442	0.5608	4	134	7060
6445	aust nz j psychiat	<table><tr><td>Source:</td><td>aust nz j psychiat</td></tr><tr><td>Citations:</td><td>39</td></tr><tr><td>Co-citations:</td><td>4408</td></tr></table>	-0.7959	-0.4422	3	39	4408
6570	autism	<table><tr><td>Source:</td><td>autism</td></tr><tr><td>Citations:</td><td>62</td></tr><tr><td>Co-citations:</td><td>3791</td></tr></table>	-0.6507	-0.163	2	62	3791
7263	behav brain res	<table><tr><td>Source:</td><td>behav brain res</td></tr><tr><td>Citations:</td><td>201</td></tr><tr><td>Co-citations:</td><td>13170</td></tr></table>	-0.8433	-0.0318	3	201	13170
7264	behav brain sci	<table><tr><td>Source:</td><td>behav brain sci</td></tr><tr><td>Citations:</td><td>277</td></tr><tr><td>Co-citations:</td><td>24191</td></tr></table>	-0.2534	-0.0744	2	277	24191
7279	behav ecol	<table><tr><td>Source:</td><td>behav ecol</td></tr><tr><td>Citations:</td><td>175</td></tr><tr><td>Co-citations:</td><td>7288</td></tr></table>	-0.718	0.5346	4	175	7288
7280	behav ecol sociobiol	<table><tr><td>Source:</td><td>behav ecol sociobiol</td></tr><tr><td>Citations:</td><td>584</td></tr><tr><td>Co-citations:</td><td>22107</td></tr></table>	-0.7065	0.5343	4	584	22107
7318	behav neurosci	<table><tr><td>Source:</td><td>behav neurosci</td></tr><tr><td>Citations:</td><td>58</td></tr><tr><td>Co-citations:</td><td>4288</td></tr></table>	-0.822	0.0479	4	58	4288
7332	behav process	<table><tr><td>Source:</td><td>behav process</td></tr><tr><td>Citations:</td><td>115</td></tr><tr><td>Co-citations:</td><td>7637</td></tr></table>	-0.792	0.3164	4	115	7637
7344	behav res ther	<table><tr><td>Source:</td><td>behav res ther</td></tr><tr><td>Citations:</td><td>255</td></tr><tr><td>Co-citations:</td><td>25090</td></tr></table>	-0.7369	-0.4239	3	255	25090
7359	behav ther	<table><tr><td>Source:</td><td>behav ther</td></tr><tr><td>Citations:</td><td>75</td></tr><tr><td>Co-citations:</td><td>11346</td></tr></table>	-0.7815	-0.4671	3	75	11346
7388	behaviour	<table><tr><td>Source:</td><td>behaviour</td></tr><tr><td>Citations:</td><td>455</td></tr><tr><td>Co-citations:</td><td>19887</td></tr></table>	-0.7378	0.4185	4	455	19887
7798	biol conserv	<table><tr><td>Source:</td><td>biol conserv</td></tr><tr><td>Citations:</td><td>119</td></tr><tr><td>Co-citations:</td><td>6238</td></tr></table>	-0.5727	0.5474	4	119	6238
7806	biol cybern	<table><tr><td>Source:</td><td>biol cybern</td></tr><tr><td>Citations:</td><td>70</td></tr><tr><td>Co-citations:</td><td>3087</td></tr></table>	-0.5834	-0.0376	2	70	3087
7826	biol j linn soc	<table><tr><td>Source:</td><td>biol j linn soc</td></tr><tr><td>Citations:</td><td>58</td></tr><tr><td>Co-citations:</td><td>2637</td></tr></table>	-0.7478	0.577	4	58	2637
7848	biol psychiat	<table><tr><td>Source:</td><td>biol psychiat</td></tr><tr><td>Citations:</td><td>461</td></tr><tr><td>Co-citations:</td><td>47975</td></tr></table>	-0.9155	-0.318	3	461	47975
7850	biol psychol	<table><tr><td>Source:</td><td>biol psychol</td></tr><tr><td>Citations:</td><td>61</td></tr><tr><td>Co-citations:</td><td>4252</td></tr></table>	-0.6307	-0.1859	2	61	4252
7858	biol rev	<table><tr><td>Source:</td><td>biol rev</td></tr><tr><td>Citations:</td><td>64</td></tr><tr><td>Co-citations:</td><td>3345</td></tr></table>	-0.7085	0.4479	4	64	3345
7937	bioscience	<table><tr><td>Source:</td><td>bioscience</td></tr><tr><td>Citations:</td><td>95</td></tr><tr><td>Co-citations:</td><td>4261</td></tr></table>	-0.4393	0.5275	4	95	4261
7967	biotropica	<table><tr><td>Source:</td><td>biotropica</td></tr><tr><td>Citations:</td><td>51</td></tr><tr><td>Co-citations:</td><td>2816</td></tr></table>	-0.5805	0.5335	4	51	2816
7991	birds n am	<table><tr><td>Source:</td><td>birds n am</td></tr><tr><td>Citations:</td><td>29</td></tr><tr><td>Co-citations:</td><td>3323</td></tr></table>	-0.7528	0.6642	4	29	3323
8172	blackwell companion	<table><tr><td>Source:</td><td>blackwell companion</td></tr><tr><td>Citations:</td><td>147</td></tr><tr><td>Co-citations:</td><td>7046</td></tr></table>	0.987	0.036	1	147	7046
8621	brain	<table><tr><td>Source:</td><td>brain</td></tr><tr><td>Citations:</td><td>602</td></tr><tr><td>Co-citations:</td><td>40950</td></tr></table>	-0.8507	-0.1644	2	602	40950
8624	brain behav evolut	<table><tr><td>Source:</td><td>brain behav evolut</td></tr><tr><td>Citations:</td><td>49</td></tr><tr><td>Co-citations:</td><td>2713</td></tr></table>	-0.8296	0.1861	4	49	2713
8632	brain cognition	<table><tr><td>Source:</td><td>brain cognition</td></tr><tr><td>Citations:</td><td>137</td></tr><tr><td>Co-citations:</td><td>10766</td></tr></table>	-0.7497	-0.1619	2	137	10766
8645	brain injury	<table><tr><td>Source:</td><td>brain injury</td></tr><tr><td>Citations:</td><td>56</td></tr><tr><td>Co-citations:</td><td>4954</td></tr></table>	-0.8342	-0.2635	3	56	4954
8648	brain lang	<table><tr><td>Source:</td><td>brain lang</td></tr><tr><td>Citations:</td><td>48</td></tr><tr><td>Co-citations:</td><td>3615</td></tr></table>	-0.8208	-0.1375	2	48	3615
8658	brain res	<table><tr><td>Source:</td><td>brain res</td></tr><tr><td>Citations:</td><td>379</td></tr><tr><td>Co-citations:</td><td>23553</td></tr></table>	-0.8752	-0.0312	3	379	23553
8660	brain res bull	<table><tr><td>Source:</td><td>brain res bull</td></tr><tr><td>Citations:</td><td>63</td></tr><tr><td>Co-citations:</td><td>4157</td></tr></table>	-0.8659	0.0037	4	63	4157
8665	brain res rev	<table><tr><td>Source:</td><td>brain res rev</td></tr><tr><td>Citations:</td><td>46</td></tr><tr><td>Co-citations:</td><td>2999</td></tr></table>	-0.7585	-0.1457	2	46	2999
8898	brit j clin psychol	<table><tr><td>Source:</td><td>brit j clin psychol</td></tr><tr><td>Citations:</td><td>51</td></tr><tr><td>Co-citations:</td><td>3512</td></tr></table>	-0.7706	-0.384	3	51	3512
8901	brit j dev psychol	<table><tr><td>Source:</td><td>brit j dev psychol</td></tr><tr><td>Citations:</td><td>78</td></tr><tr><td>Co-citations:</td><td>3613</td></tr></table>	-0.603	-0.0902	2	78	3613
8937	brit j polit sci	<table><tr><td>Source:</td><td>brit j polit sci</td></tr><tr><td>Citations:</td><td>120</td></tr><tr><td>Co-citations:</td><td>4712</td></tr></table>	0.9211	0.0544	1	120	4712
8940	brit j psychiat	<table><tr><td>Source:</td><td>brit j psychiat</td></tr><tr><td>Citations:</td><td>323</td></tr><tr><td>Co-citations:</td><td>39152</td></tr></table>	-0.9331	-0.4724	3	323	39152
8941	brit j psychol	<table><tr><td>Source:</td><td>brit j psychol</td></tr><tr><td>Citations:</td><td>65</td></tr><tr><td>Co-citations:</td><td>5457</td></tr></table>	-0.5892	-0.1155	2	65	5457
8946	brit j soc psychol	<table><tr><td>Source:</td><td>brit j soc psychol</td></tr><tr><td>Citations:</td><td>125</td></tr><tr><td>Co-citations:</td><td>5724</td></tr></table>	0.3027	-0.0605	2	125	5724
8950	brit j sociol	<table><tr><td>Source:</td><td>brit j sociol</td></tr><tr><td>Citations:</td><td>117</td></tr><tr><td>Co-citations:</td><td>3227</td></tr></table>	0.8752	0.048	1	117	3227
8961	brit med j	<table><tr><td>Source:</td><td>brit med j</td></tr><tr><td>Citations:</td><td>335</td></tr><tr><td>Co-citations:</td><td>11802</td></tr></table>	-0.273	-0.2235	3	335	11802
9608	calif law rev	<table><tr><td>Source:</td><td>calif law rev</td></tr><tr><td>Citations:</td><td>101</td></tr><tr><td>Co-citations:</td><td>11211</td></tr></table>	0.8455	-0.1603	5	101	11211
9775	can j forest res	<table><tr><td>Source:</td><td>can j forest res</td></tr><tr><td>Citations:</td><td>28</td></tr><tr><td>Co-citations:</td><td>2389</td></tr></table>	-0.6513	0.6258	4	28	2389
9788	can j psychiat	<table><tr><td>Source:</td><td>can j psychiat</td></tr><tr><td>Citations:</td><td>29</td></tr><tr><td>Co-citations:</td><td>5911</td></tr></table>	-1.0052	-0.5176	3	29	5911
9801	can j zool	<table><tr><td>Source:</td><td>can j zool</td></tr><tr><td>Citations:</td><td>335</td></tr><tr><td>Co-citations:</td><td>12500</td></tr></table>	-0.7213	0.5755	4	335	12500
10419	cell	<table><tr><td>Source:</td><td>cell</td></tr><tr><td>Citations:</td><td>122</td></tr><tr><td>Co-citations:</td><td>6372</td></tr></table>	-1.0897	0.5342	6	122	6372
10542	cereb cortex	<table><tr><td>Source:</td><td>cereb cortex</td></tr><tr><td>Citations:</td><td>361</td></tr><tr><td>Co-citations:</td><td>27423</td></tr></table>	-0.8046	-0.1107	2	361	27423
10583	cf s c	<table><tr><td>Source:</td><td>cf s c</td></tr><tr><td>Citations:</td><td>40</td></tr><tr><td>Co-citations:</td><td>13880</td></tr></table>	1.3167	0.0401	1	40	13880
10677	challenging politica	<table><tr><td>Source:</td><td>challenging politica</td></tr><tr><td>Citations:</td><td>72</td></tr><tr><td>Co-citations:</td><td>2544</td></tr></table>	1.0148	0.0128	1	72	2544
11030	child dev	<table><tr><td>Source:</td><td>child dev</td></tr><tr><td>Citations:</td><td>402</td></tr><tr><td>Co-citations:</td><td>21882</td></tr></table>	-0.5605	-0.0879	2	402	21882
11223	china quart	<table><tr><td>Source:</td><td>china quart</td></tr><tr><td>Citations:</td><td>35</td></tr><tr><td>Co-citations:</td><td>3011</td></tr></table>	0.9887	0.0604	1	35	3011
11482	cio news	<table><tr><td>Source:</td><td>cio news</td></tr><tr><td>Citations:</td><td>20</td></tr><tr><td>Co-citations:</td><td>4520</td></tr></table>	1.357	0.0021	1	20	4520
12148	clin neurophysiol	<table><tr><td>Source:</td><td>clin neurophysiol</td></tr><tr><td>Citations:</td><td>71</td></tr><tr><td>Co-citations:</td><td>5834</td></tr></table>	-0.8731	-0.2053	3	71	5834
12181	clin psychol rev	<table><tr><td>Source:</td><td>clin psychol rev</td></tr><tr><td>Citations:</td><td>111</td></tr><tr><td>Co-citations:</td><td>14292</td></tr></table>	-0.6046	-0.4013	3	111	14292
12182	clin psychol-sci pr	<table><tr><td>Source:</td><td>clin psychol-sci pr</td></tr><tr><td>Citations:</td><td>36</td></tr><tr><td>Co-citations:</td><td>7381</td></tr></table>	-0.6418	-0.4415	3	36	7381
12284	cns drugs	<table><tr><td>Source:</td><td>cns drugs</td></tr><tr><td>Citations:</td><td>22</td></tr><tr><td>Co-citations:</td><td>3096</td></tr></table>	-1.0504	-0.4531	3	22	3096
12414	cognition	<table><tr><td>Source:</td><td>cognition</td></tr><tr><td>Citations:</td><td>384</td></tr><tr><td>Co-citations:</td><td>23824</td></tr></table>	-0.3062	-0.1116	2	384	23824
12425	cognition emotion	<table><tr><td>Source:</td><td>cognition emotion</td></tr><tr><td>Citations:</td><td>219</td></tr><tr><td>Co-citations:</td><td>13008</td></tr></table>	-0.3809	-0.2125	2	219	13008
12452	cognitive brain res	<table><tr><td>Source:</td><td>cognitive brain res</td></tr><tr><td>Citations:</td><td>150</td></tr><tr><td>Co-citations:</td><td>9875</td></tr></table>	-0.7633	-0.1077	2	150	9875
12464	cognitive neuropsych	<table><tr><td>Source:</td><td>cognitive neuropsych</td></tr><tr><td>Citations:</td><td>49</td></tr><tr><td>Co-citations:</td><td>3298</td></tr></table>	-0.7878	-0.1593	2	49	3298
12472	cognitive psychol	<table><tr><td>Source:</td><td>cognitive psychol</td></tr><tr><td>Citations:</td><td>66</td></tr><tr><td>Co-citations:</td><td>3701</td></tr></table>	-0.0816	-0.1142	2	66	3701
12481	cognitive sci	<table><tr><td>Source:</td><td>cognitive sci</td></tr><tr><td>Citations:</td><td>69</td></tr><tr><td>Co-citations:</td><td>3700</td></tr></table>	-0.2985	-0.0772	2	69	3700
12495	cognitive ther res	<table><tr><td>Source:</td><td>cognitive ther res</td></tr><tr><td>Citations:</td><td>44</td></tr><tr><td>Co-citations:</td><td>3624</td></tr></table>	-0.657	-0.3876	3	44	3624
12741	columbia law rev	<table><tr><td>Source:</td><td>columbia law rev</td></tr><tr><td>Citations:</td><td>159</td></tr><tr><td>Co-citations:</td><td>15318</td></tr></table>	0.9517	-0.1702	5	159	15318
12973	commoner	<table><tr><td>Source:</td><td>commoner</td></tr><tr><td>Citations:</td><td>25</td></tr><tr><td>Co-citations:</td><td>5419</td></tr></table>	1.2817	0.0455	1	25	5419
13024	communication	<table><tr><td>Source:</td><td>communication</td></tr><tr><td>Citations:</td><td>810</td></tr><tr><td>Co-citations:</td><td>58472</td></tr></table>	1.1425	0.0275	1	810	58472
13339	comp perspectives so	<table><tr><td>Source:</td><td>comp perspectives so</td></tr><tr><td>Citations:</td><td>335</td></tr><tr><td>Co-citations:</td><td>15675</td></tr></table>	1.0174	0.035	1	335	15675
13344	comp polit	<table><tr><td>Source:</td><td>comp polit</td></tr><tr><td>Citations:</td><td>102</td></tr><tr><td>Co-citations:</td><td>6354</td></tr></table>	1.0521	0.0644	1	102	6354
13346	comp polit stud	<table><tr><td>Source:</td><td>comp polit stud</td></tr><tr><td>Citations:</td><td>93</td></tr><tr><td>Co-citations:</td><td>4453</td></tr></table>	1.0377	0.0585	1	93	4453
13384	comp stud soc hist	<table><tr><td>Source:</td><td>comp stud soc hist</td></tr><tr><td>Citations:</td><td>87</td></tr><tr><td>Co-citations:</td><td>3451</td></tr></table>	0.9385	0.0587	1	87	3451
13713	condor	<table><tr><td>Source:</td><td>condor</td></tr><tr><td>Citations:</td><td>72</td></tr><tr><td>Co-citations:</td><td>3344</td></tr></table>	-0.7452	0.6162	4	72	3344
13909	conscious cogn	<table><tr><td>Source:</td><td>conscious cogn</td></tr><tr><td>Citations:</td><td>86</td></tr><tr><td>Co-citations:</td><td>9033</td></tr></table>	-0.4279	-0.1134	2	86	9033
13944	conserv biol	<table><tr><td>Source:</td><td>conserv biol</td></tr><tr><td>Citations:</td><td>217</td></tr><tr><td>Co-citations:</td><td>10414</td></tr></table>	-0.3409	0.5051	4	217	10414
14655	cornell law rev	<table><tr><td>Source:</td><td>cornell law rev</td></tr><tr><td>Citations:</td><td>56</td></tr><tr><td>Co-citations:</td><td>7562</td></tr></table>	0.7076	-0.1768	5	56	7562
14778	cortex	<table><tr><td>Source:</td><td>cortex</td></tr><tr><td>Citations:</td><td>74</td></tr><tr><td>Co-citations:</td><td>4897</td></tr></table>	-0.7404	-0.1525	2	74	4897
15568	ct	<table><tr><td>Source:</td><td>ct</td></tr><tr><td>Citations:</td><td>21</td></tr><tr><td>Co-citations:</td><td>7686</td></tr></table>	1.326	0.0405	1	21	7686
15970	curr anthropol	<table><tr><td>Source:</td><td>curr anthropol</td></tr><tr><td>Citations:</td><td>127</td></tr><tr><td>Co-citations:</td><td>4347</td></tr></table>	0.5908	0.102	1	127	4347
15972	curr biol	<table><tr><td>Source:</td><td>curr biol</td></tr><tr><td>Citations:</td><td>446</td></tr><tr><td>Co-citations:</td><td>26119</td></tr></table>	-0.8325	0.2252	6	446	26119
15975	curr dir psychol sci	<table><tr><td>Source:</td><td>curr dir psychol sci</td></tr><tr><td>Citations:</td><td>86</td></tr><tr><td>Co-citations:</td><td>6297</td></tr></table>	-0.3424	-0.1309	2	86	6297
15998	curr opin neurobiol	<table><tr><td>Source:</td><td>curr opin neurobiol</td></tr><tr><td>Citations:</td><td>134</td></tr><tr><td>Co-citations:</td><td>9421</td></tr></table>	-0.8391	-0.0736	2	134	9421
